video_id,embedding,collection,party,type,x,y,projection_Democrat_Republican
7.368880841054785e+18,"[ 0.04108084  0.01086753 -0.02026747 ... -0.00561733 -0.04040663
  0.01269663]",persona,Republican,video,-0.14281738,-0.095541984,0.058777332
7.37340451764126e+18,"[ 0.03009235 -0.00338617 -0.02221454 ...  0.00747337 -0.03819039
 -0.00743494]",persona,Republican,video,-0.15299998,-0.039444026,0.010676403
7.372764695876488e+18,"[ 0.03924473  0.00377712 -0.01983    ... -0.01376103 -0.03163999
 -0.00533815]",persona,Republican,video,-0.14154749,-0.0061115334,0.0074079707
7.372662296436329e+18,"[ 0.02949864 -0.0087522  -0.03984878 ... -0.01720889 -0.00648713
  0.03134003]",persona,Republican,video,-0.025326867,-0.079365894,0.05733771
7.371857898218982e+18,"[ 0.03629727 -0.01611558 -0.0177205  ... -0.00600174 -0.04167424
 -0.00999731]",persona,Republican,video,-0.13341255,-0.029288663,0.057918575
7.370427141789519e+18,"[ 0.01760742 -0.02910357 -0.0270406  ... -0.01073914 -0.03158103
  0.01891132]",persona,Republican,video,-0.14505439,-0.051660333,0.033492673
7.37014490603309e+18,"[ 0.0445916  -0.00738948 -0.02685643 ... -0.01435924 -0.03352015
  0.00817372]",persona,Republican,video,-0.16023462,-0.08394322,0.06282087
7.366377140742573e+18,"[ 0.03027706 -0.00795514 -0.02103561 ... -0.01966829 -0.03969738
  0.02014518]",persona,Republican,video,-0.14175834,-0.08738953,-0.017721122
7.366374652156841e+18,"[ 0.0387339  -0.01541761 -0.03861071 ...  0.01285236 -0.01104533
  0.00544149]",persona,Republican,video,-0.14813577,-0.12889561,0.06271585
7.36222059021794e+18,"[ 0.03833617  0.00254011 -0.04058191 ... -0.01012531 -0.05083463
 -0.01185817]",persona,Republican,video,-0.13575543,-0.04747085,0.06026277
7.361512654717881e+18,"[ 0.02461042 -0.01185566 -0.00538846 ... -0.0240517  -0.0297661
  0.00173422]",persona,Republican,video,-0.1452062,-0.058998995,0.037822574
7.359697722317852e+18,"[ 0.04278389 -0.01736544 -0.00955679 ... -0.00861862 -0.01470335
  0.0246966 ]",persona,Republican,video,-0.07634759,-0.02729884,0.050379626
7.359687279335476e+18,"[ 0.00997377 -0.00161401 -0.02140349 ...  0.00839383 -0.05099945
  0.01353294]",persona,Democrat,video,-0.09814751,-0.047986202,0.06819339
7.400833646589971e+18,"[ 0.01655691 -0.00697843 -0.04267953 ... -0.02556151 -0.0579608
 -0.00662744]",persona,Republican,video,-0.17926478,-0.15140335,0.0693671
7.406080372498304e+18,"[ 0.02688967 -0.00885642 -0.03267613 ... -0.00803263 -0.06294089
 -0.02030127]",persona,Republican,video,-0.16593313,-0.12038112,0.08131821
7.405338707919752e+18,"[ 0.03356686 -0.01836481 -0.03666934 ... -0.01930078 -0.04675541
  0.00862631]",persona,Republican,video,-0.15374675,-0.13447413,0.13337776
7.404984392742882e+18,"[ 0.04541308 -0.02296683 -0.02801973 ...  0.00069256 -0.05025775
  0.00301673]",persona,Republican,video,-0.15647075,-0.13486971,0.114741944
7.405384942663912e+18,"[ 0.01778607 -0.00888064 -0.01955201 ... -0.01444694 -0.02565122
  0.00763949]",persona,Republican,video,-0.16113967,-0.08281785,-0.02980137
7.404997125722902e+18,"[ 0.03788421 -0.01426574 -0.03073006 ... -0.0105494  -0.04664283
  0.00428401]",persona,Republican,video,-0.14476278,-0.18290266,0.0885977
7.40650714652497e+18,"[ 0.01954736 -0.02300395 -0.01993077 ... -0.02823661 -0.04592457
 -0.00069636]",persona,Democrat,video,-0.13916714,-0.021290557,-0.024387073
7.405610678309932e+18,"[ 0.01976579 -0.01351278 -0.00838411 ... -0.00190342 -0.03402501
 -0.03721635]",persona,Democrat,video,-0.1718784,-0.12472486,-0.038259007
7.406457456630435e+18,"[ 0.01225989 -0.0298521  -0.01365952 ... -0.00561361 -0.07489333
 -0.03283727]",persona,Republican,video,-0.19539802,-0.08220721,0.0366845
7.408586930411064e+18,"[ 0.01252554 -0.0230843  -0.00305745 ... -0.02437572 -0.03154938
  0.00525751]",persona,Republican,video,-0.11395666,-0.097512655,-0.035886753
7.408033119313399e+18,"[-0.01330137 -0.02930951 -0.02077803 ... -0.02523509 -0.0419172
 -0.0168124 ]",persona,Republican,video,-0.13978978,-0.0870246,0.009428911
7.408673490116693e+18,"[ 0.03133753 -0.01802242 -0.00784168 ... -0.01878865 -0.03144949
 -0.01733834]",persona,Republican,video,-0.09173433,-0.08987566,0.063600555
